sub,M,y,u,el
0,78.39888456875902,0.004456551410156742,0.011351697692818831,column
1,102.10691659738151,0.00468555098262309,0.009743357974041137,column
2,102.10691659738151,0.00468555098262309,0.009743357974041137,column
3,102.10691659738151,0.00468555098262309,0.009743357974041137,column
4,78.39888456875902,0.004456551410156742,0.011351697692818831,column
5,52.78176006936598,0.005,0.01,joint
6,55.178940272071486,0.0031342158229488216,0.021800320366309526,rightbeam
7,55.178940272071486,0.0031342158229488216,0.021800320366309526,rightbeam
8,55.178940272071486,0.0031342158229488216,0.021800320366309526,rightbeam
9,61.68837698665927,0.005,0.01,joint
10,45.2021998409705,0.005,0.01,joint
11,55.178940272071486,0.0031342158229488216,0.021800320366309526,rightbeam
12,55.178940272071486,0.0031342158229488216,0.021800320366309526,rightbeam
13,55.178940272071486,0.0031342158229488216,0.021800320366309526,rightbeam
14,51.30959429854307,0.005,0.01,joint
15,51.333496785033184,0.003920580098902898,0.016830356063486415,belowcolumn
16,39.00804993861584,0.004239271846773694,0.014126771083233928,belowcolumn
17,39.00804993861584,0.004239271846773694,0.014126771083233928,belowcolumn
18,39.00804993861584,0.004239271846773694,0.014126771083233928,belowcolumn
19,61.391885624347495,0.0041370374642248015,0.014440617661346775,belowcolumn
