damaged_curves_classic,damaged_curves_sub_stiff,damaged_curves_modified,damaged_curves_sub_stiff_bil,damaged_curves_modified_bil,classic_SLaMA,stiffness_SLaMA,stiffness_SLaMA_bil
0.655060050691398,0.6949641963503783,0.6618395213368323,0.6150237337219009,0.6022771934541546,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.658981861435575,0.6853905495734646,0.6589818614355749,0.6118755279945729,0.5990620055323345,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.655060050691398,0.6949641963503783,0.6618395213368323,0.6176822298424329,0.6049917038909752,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6218411817186621,0.6436050675589722,0.6132866910449134,0.5826814742267493,0.5674150258358274,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.655060050691398,0.6949641963503783,0.6618395213368323,0.6150237337219009,0.6022771934541546,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6617350715166064,0.690390080568054,0.6685836245426474,0.6199531014487744,0.6136415956567631,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6449107694416384,0.6723323884139474,0.6402864326881004,0.6031034499564893,0.5875593945371845,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6460361130901223,0.6853905495734646,0.6527221915037917,0.6067727836781306,0.5938491691720154,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6409785642422013,0.6656852841518767,0.6400358568609841,0.5976865906062466,0.5833248053130158,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6566161569541191,0.684535489240424,0.6566161569541191,0.6127409814441135,0.600482827066036,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6566161569541191,0.684535489240424,0.6566161569541191,0.6104867699769235,0.5976434731766445,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.655060050691398,0.6949641963503783,0.6618395213368323,0.6151251527859284,0.6023807585769131,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6488127447159354,0.6748139056549707,0.6488127447159353,0.60467192366138,0.5933069220629246,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.658981861435575,0.6853905495734646,0.6589818614355749,0.6089487848084719,0.5960723506702018,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6483189139930102,0.6878124113451128,0.6550286179990115,0.6121185598169168,0.5940456485839362,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6378172282868707,0.6649372297456766,0.6332437558150737,0.5981134825333484,0.5791186898688379,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6504658394161583,0.6755382493246966,0.643339489898508,0.6047610352571842,0.5876419668940603,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6504658394161583,0.6755382493246966,0.643339489898508,0.6053457095393283,0.5892784839684675,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6620330607636215,0.682320021358184,0.6500099422950532,0.6098243414296692,0.5882828939885885,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6378172282868707,0.6649372297456766,0.6332437558150737,0.59807305303633,0.5789766942832453,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.655060050691398,0.6908825555660564,0.6618395213368323,0.6136828813408637,0.6016786825800253,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6680668016971322,0.688360794640267,0.6555508632304636,0.6118298973036966,0.596271151607416,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.655060050691398,0.6949641963503783,0.6622264395632,0.6177992743563849,0.6051112030933332,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6661625784178344,0.6886279627374171,0.6558052970652753,0.6104144336125595,0.5960876130482975,0.7085208367835466,0.7182978676484433,0.6788321677218729
